Year,Passengers
01/01/1985,33
01/01/1986,35
01/01/1987,37
01/01/1988,41
01/01/1989,33
01/01/1990,38
01/01/1991,47
01/01/1992,49
01/01/1993,53
01/01/1994,59
01/01/1995,63
01/01/1996,67
01/01/1997,69
01/01/1998,69
01/01/1999,72
01/01/2000,78
01/01/2001,79
01/01/2002,76
01/01/2003,81
01/01/2004,94
01/01/2005,101
01/01/2006,108
01/01/2007,115
01/01/2008,122
01/01/2009,123
01/01/2010,132
01/01/2011,135
01/01/2012,140
01/01/2013,144
01/01/2014,147
01/01/2015,149
01/01/2016,154
01/01/2017,158
